dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2005-02-17,Eden Park,Auckland,New Zealand,New Zealand,Australia,,0,Australia,,1,bat,BF Bowden,AL Hill,Australia,1,,,,,,
2005-06-13,The Rose Bowl,Southampton,England,England,Australia,,1,England,,,bat,NJ Llong,JW Lloyds,England,,,,,,,
2005-10-21,New Wanderers Stadium,Johannesburg,South Africa,South Africa,New Zealand,,,New Zealand,,,field,IL Howell,BG Jerling,New Zealand,,,,,,,
2006-01-09,Brisbane Cricket Ground,Brisbane,Australia,Australia,South Africa,2,,Australia,,,bat,BNJ Oxenford,RL Parry,Australia,,,,,,,
2006-02-16,Eden Park,Auckland,New Zealand,West Indies,New Zealand,,,New Zealand,,,field,BF Bowden,AL Hill,New Zealand,,,,,,,
2006-02-24,New Wanderers Stadium,Johannesburg,South Africa,South Africa,Australia,,3,South Africa,,,bat,M Erasmus,KH Hurter,South Africa,,,,,,,
2006-06-15,The Rose Bowl,Southampton,England,England,Sri Lanka,,,Sri Lanka,,,bat,IJ Gould,NJ Llong,Sri Lanka,,,,,,,
2006-08-28,County Ground,Bristol,England,England,Pakistan,,,England,,,bat,PJ Hartley,NJ Llong,Pakistan,,,,,,,
2006-12-01,New Wanderers Stadium,Johannesburg,South Africa,South Africa,India,,,South Africa,,,bat,IL Howell,BG Jerling,India,,,,,,,
2006-12-22,Westpac Stadium,Wellington,New Zealand,New Zealand,Sri Lanka,,,New Zealand,,,bat,AL Hill,EA Watkin,Sri Lanka,,,,,,,
2006-12-26,Eden Park,Auckland,New Zealand,New Zealand,Sri Lanka,,,New Zealand,,,field,BF Bowden,AL Hill,New Zealand,,,,,,,
2007-01-09,Sydney Cricket Ground,Sydney,Australia,Australia,England,5,,Australia,,,bat,PD Parker,RL Parry,Australia,,,,,,,
2007-06-28,Kennington Oval,London,England,England,West Indies,,,West Indies,,,bat,PJ Hartley,NJ Llong,West Indies,,,,,,,
2007-06-29,Kennington Oval,London,England,England,West Indies,,,West Indies,,,bat,IJ Gould,NJ Llong,England,,,,,,,
2007-09-01,Gymkhana Club Ground,Nairobi,Kenya,Kenya,Bangladesh,,,Bangladesh,,,field,R DMello,SR Modi,Bangladesh,,,,,,,
2007-09-02,Gymkhana Club Ground,Nairobi,none,Bangladesh,Pakistan,,,Bangladesh,,,field,R DMello,SR Modi,Pakistan,,,,,,,
2007-09-04,Gymkhana Club Ground,Nairobi,Kenya,Kenya,Pakistan,,,Kenya,,,bat,SR Modi,IO Oyieko,Pakistan,,,,,,,
2007-09-11,New Wanderers Stadium,Johannesburg,South Africa,South Africa,West Indies,,,South Africa,,,field,MR Benson,DJ Harper,South Africa,,,,,,,
2007-09-12,Kingsmead,Durban,none,Kenya,New Zealand,,,New Zealand,,,field,BR Doctrove,SJA Taufel,New Zealand,,,,,,,
2007-09-12,Kingsmead,Durban,none,Pakistan,Scotland,,,Scotland,,,field,SJ Davis,SJA Taufel,Pakistan,,,,,,,
2007-09-12,Newlands,Cape Town,none,Australia,Zimbabwe,6,,Australia,,,bat,Asad Rauf,AL Hill,Zimbabwe,,,,,,,
2007-09-13,New Wanderers Stadium,Johannesburg,none,Bangladesh,West Indies,,,Bangladesh,,,field,MR Benson,NJ Llong,Bangladesh,,,,,,,
2007-09-13,Newlands,Cape Town,none,England,Zimbabwe,,,England,,,bat,Asad Rauf,AL Hill,England,,,,,,,
2007-09-14,Kingsmead,Durban,none,Pakistan,India,,,India,,,field,BR Doctrove,SJA Taufel,Pakistan,,,,,,,
2007-09-14,New Wanderers Stadium,Johannesburg,none,Kenya,Sri Lanka,,,Kenya,,,field,DJ Harper,NJ Llong,Sri Lanka,,,,,,,
2007-09-14,Newlands,Cape Town,none,Australia,England,7,,England,,,bat,Asad Rauf,IL Howell,Australia,,,,,,,
2007-09-15,New Wanderers Stadium,Johannesburg,none,New Zealand,Sri Lanka,,,New Zealand,,,bat,MR Benson,DJ Harper,Sri Lanka,,,,,,,
2007-09-15,Newlands,Cape Town,South Africa,South Africa,Bangladesh,,,South Africa,,,field,Asad Rauf,AL Hill,South Africa,,,,,,,
2007-09-16,New Wanderers Stadium,Johannesburg,none,India,New Zealand,,,India,,,field,MR Benson,NJ Llong,New Zealand,,,,,,,
2007-09-16,Newlands,Cape Town,none,Australia,Bangladesh,8,,Australia,,,field,Asad Rauf,IL Howell,Australia,,,,,,,
2007-09-16,Newlands,Cape Town,South Africa,South Africa,England,,,England,,,field,Asad Rauf,AL Hill,South Africa,,,,,,,
